"id","armor_id","name"
2150073304,3400974073,"Season of the Wish Activities"
2151770368,754050190,"Solstice"
2154085454,1352108388,"Complete Iron Banner matches and earn rank-up packages from Lord Saladin."
2156753909,3585812448,"Xûr"
2159827152,4132376063,"Vesper's Host"
2160130559,3356846604,"Open Legendary engrams and earn faction rank-up packages."
2160860016,4120018291,"Complete Gambit Prime matches and increase your rank."
2161231834,1208040825,"Exploring Europa"
2165457096,1515214785,"Earned while leveling."
2168991482,1744000486,"Complete Gambit Prime matches and increase your rank."
2170779125,1276995479,"Solstice 2019"
2172766133,714372706,"Complete Crucible matches and earn rank-up packages from Lord Shaxx."
2173391412,326149062,"Acquired from the raid ""Crown of Sorrow."""
2176057926,1793372050,"Season of the Splicer Activities"
2177287075,2602559881,"Complete Iron Banner matches and earn rank-up packages from Lord Saladin."
2181336079,1076538039,"Complete activities in the Dreaming City."
2185175701,1557512974,"Earn rank-up packages from Arach Jalaal."
2186170752,3101330395,"Solstice 2018"
2186611476,891933382,"Complete Trials tickets and earn rank-up packages from the Emissary of the Nine."
2191305471,2135836316,"Complete Gambit matches and earn rank-up packages from the Drifter."
2191440234,239713976,"Complete Gambit Prime matches and increase your rank."
2192088420,2530582647,"Bright Engrams"
2194845189,211668054,"Solstice"
2195607655,849255710,"Season of the Risen"
2195926340,458336261,"Complete Gambit Prime matches and increase your rank."
2196993924,2702372534,"Bright Engrams"
2197809778,2891906302,"Earned while leveling."
2197862978,2969535443,"Complete Crucible matches and earn rank-up packages from Lord Shaxx."
2198102425,791521235,"Complete Iron Banner matches and earn rank-up packages from Lord Saladin."
2198343842,265597079,"Open Legendary engrams and earn faction rank-up packages."
2199344707,777526069,"Complete Gambit matches and earn rank-up packages from the Drifter."
2201253520,2890202680,"Bright Engrams"
2202655137,839296981,"Season of the Seraph"
2202913979,56010517,"Open Legendary engrams and earn faction rank-up packages."
2203858007,2245996336,"Solstice"
2203893313,2221612747,"Solstice"
2206362860,896458489,"""Ghosts of the Deep"" Dungeon"
2206524145,527342912,"Season of the Haunted"
2206689580,2924954886,"Solstice 2018"
2206749417,942205921,"Acquired from the raid ""Crown of Sorrow."""
2208687510,3301944824,"Exotic Armor Focusing"
2218977062,2169905051,"Exotic Armor Focusing"
2219796226,2395788176,"Exploring the Pale Heart"
2220532801,1790943181,"Season Pass Reward"
2221798077,3406713877,"Acquired from the raid ""Crown of Sorrow."""
2222106913,2813298149,""
2225252541,2936230179,"Complete Iron Banner matches and earn rank-up packages from Lord Saladin."
2225603785,3331120813,"Leviathan, Eater of Worlds raid lair."
2226685097,638752234,"Solstice 2019"
2227096485,1245678091,"Season of the Splicer Activities"
2227716348,2217751623,"Solstice"
2228125382,3734501342,"Bright Engrams"
2229363347,2741258862,"Episode: Echoes Activities"
2233387343,2432846050,"Open Legendary engrams and earn faction rank-up packages."
2234332056,3694642467,"Complete Gambit matches and earn rank-up packages from the Drifter."
2236794324,332170995,"Complete strikes and earn rank-up packages from Commander Zavala."
2239413251,2013981053,"Solstice"
2240158334,1737518783,"Xûr"
2243533023,1703551922,"Exotic Armor Focusing"
2246309126,970568088,"Solstice 2019"
2246982745,2657180960,"Earn rank-up packages from Lakshmi-2."
2253088227,1770862261,"Solstice"
2254110564,199852048,"Bright Engrams"
2254596863,1876645652,"Leviathan raid."
2257459605,1165027035,"Bright Engrams"
2258426657,3281673290,"Complete strikes and earn rank-up packages from Commander Zavala."
2258586717,260708852,"Season of the Witch"
2258657402,908447143,"Earn rank-up packages from Executor Hideo."
2262318009,2661272173,"Bright Engrams"
2264032449,2364756343,"Dungeon ""Duality"""
2264310427,1886580964,"Complete Gambit Prime matches and increase your rank."
2264700723,761884895,"Earn rank-up packages from Ikora Rey."
2265899022,2931145020,"Complete Iron Banner matches and earn rank-up packages from Lord Saladin."
2266238862,3538363663,"Solstice"
2266412169,2392432370,"Radiolite Bay Deposits"
2267048874,3271153034,"Complete Gambit Prime matches and increase your rank."
2267418722,2882705174,"Eververse"
2267513232,2447779891,"Earned while leveling."
2267820569,1889156236,"Open Legendary engrams and earn faction rank-up packages."
2270250021,1656833637,"""King's Fall"" Raid"
2270916371,950313583,"Complete Gambit Prime matches and increase your rank."
2271514050,3440927677,"Complete strikes and earn rank-up packages from Commander Zavala."
2277348759,2839517205,"""Spire of the Watcher"" Dungeon"
2278833667,1402082511,"Solstice"
2280832934,3915635973,"Solstice 2018"
2282824303,2861892194,"""Garden of Salvation"" Raid"
2286716175,297009581,"Complete Iron Banner matches and earn rank-up packages from Lord Saladin."
2287348561,1395001913,"Open Legendary engrams and earn faction rank-up packages."
2297483919,2748020989,"""Vow of the Disciple"" Raid"
2298116823,1958630864,"Episode: Echoes Activities"
2298615961,1959672649,"Complete Iron Banner matches and earn rank-up packages from Lord Saladin."
2298909201,4165919945,"Exotic engrams; extremely rare world drops."
2299354716,119228495,"Season of the Risen"
2301331517,4269346472,"Complete Crucible matches and earn rank-up packages from Lord Shaxx."
2302396683,2756505819,"Solstice"
2303104439,2277119328,"Open Legendary engrams and earn faction rank-up packages."
2303453020,436836011,"Earned while leveling."
2305043682,4266736482,"Complete Iron Banner matches and earn rank-up packages from Lord Saladin."
2306661008,2996100508,"Open Legendary engrams and earn faction rank-up packages."
2307642390,2676379051,"Earned while leveling."
2307893014,2369445684,"Season Pass Reward"
2307978798,1900280383,"""Prophecy"" Dungeon"
2308566271,3909729744,"Xûr"
2317157479,4051618675,"Complete Gambit Prime matches and increase your rank."
2319618155,3789403502,"Exploring Europa"
2320433968,3464581845,"Episode Revenant Seasonal Activities"
2321823383,1754155306,"Episode Revenant Seasonal Activities"
2322089726,1413589587,"Leviathan raid."
2323219081,162269058,"Trials of Osiris Challenges"
2325722862,3144980976,"Red War Campaign"
2327807501,2787963735,"""Root of Nightmares"" Raid"
2327937365,4224643669,"Season Pass Reward"
2328036911,119457531,"Season Pass Reward"
2329927341,4038429998,"Complete strikes and earn rank-up packages from Commander Zavala."
2330682964,461841403,"Exotic Armor Focusing"
2330972862,2112508290,"Solstice"
2333070885,1453120846,"Exotic Armor Focusing"
2334481714,1522478103,"Earned while leveling."
2336915956,1259550198,"Season of the Seraph"
2337645260,2323339168,"Solstice"
2340335439,3423279826,"Last Wish raid."
2341034660,1600224949,"Earn rank-up packages from Arach Jalaal."
2341487969,2343515647,"""Deep Stone Crypt"" Raid"
2344725758,1615763427,"Vesper's Host"
2345074533,1968283192,"Season of Defiance"
2345453382,446438979,"Earn rank-up packages from Executor Hideo."
2347069593,3052682216,"Open Legendary engrams and earn faction rank-up packages."
2348602696,2622606502,"Bright Engrams"
2352900398,859929450,"""Crota's End"" Raid"
2353225713,2231988704,"Earned while leveling."
2356477111,539497618,"Complete activities and earn rank-up packages in the EDZ."
2361354695,360521698,"Complete Gambit Prime matches and increase your rank."
2363368324,3725260498,"Solstice 2019"
2364037501,2014814167,"""Spire of the Watcher"" Dungeon"
2366401994,4141029260,"Bright Engrams"
2367119874,3862902650,"Season of the Splicer Activities"
2368248955,671664021,"Complete strikes and earn rank-up packages from Commander Zavala."
2369829698,458336262,"Complete Gambit Prime matches and increase your rank."
2370132318,2320491441,"Xûr"
2371517663,266021826,"Exploring the Pale Heart"
2371646750,2381515079,"Trials of Osiris Challenges"
2372412072,349652258,"Eververse"
2374910879,3145637173,"Open Legendary engrams and earn faction rank-up packages."
2375424594,620774353,"Xûr"
2380448350,1207531728,"Complete Gambit matches and earn rank-up packages from the Drifter."
2381954995,2870974250,"Complete strikes and earn rank-up packages from Commander Zavala."
2385170633,2966633380,"""Prophecy"" Dungeon"
2385465000,1834245236,"Season of Plunder"
2389501612,3587100700,"Complete Gambit Prime matches and increase your rank."
2389683702,1005587287,"Xûr"
2389771590,3592548939,"Leviathan raid."
2394322353,431605328,"Season of the Deep"
2397989461,2030596705,"Solstice 2018"
2403905042,3233866074,"Open Legendary engrams and earn faction rank-up packages."
2404221755,1094905316,"Bright Engrams"
2406977947,366019830,"Guardian Games 2023"
2410273410,2437510452,"""King's Fall"" Raid"
2410708157,1362642485,"Bright Engrams"
2413757250,3070295330,"Dungeon ""Duality"""
2417274683,3513993870,"Season of the Deep"
2418116196,1174021263,"Solstice 2018"
2419042317,1080431755,"Complete strikes and earn rank-up packages from Commander Zavala."
2425656839,1264765761,"""Deep Stone Crypt"" Raid"
2426847935,595755242,"Earned while leveling."
2428588096,1547733991,"Exploring Europa"
2428978620,3552091116,"Xûr"
2429854098,3600297123,"Season of the Wish Activities"
2431751832,1241704260,"Solstice 2019"
2433077365,2475562438,"Leviathan, Spire of Stars raid lair."
2438086330,4044826514,"Complete activities and earn rank-up packages on the Tangled Shore."
2438483824,1555512375,"Complete Gambit Prime matches and increase your rank."
2439293956,2489453969,"Solstice"
2441098939,4194072668,"""Prophecy"" Dungeon"
2443748806,960442438,"Complete Iron Banner matches and earn rank-up packages from Lord Saladin."
2445702958,2232730709,"Leviathan raid."
2446703591,3441081953,"Complete Crucible matches and earn rank-up packages from Lord Shaxx."
2447580849,731283469,"Solstice"
2455933227,2521855144,"Earned while leveling."
2460380420,903593458,"Bright Engrams"
2462402921,1576110550,"Complete Gambit Prime matches and increase your rank."
2464037173,190167440,"Bright Engrams"
2464240433,720656969,"Xûr"
2468490773,725297842,"Complete Gambit matches and earn rank-up packages from the Drifter."
2471990488,3539357319,"Exotic engrams; extremely rare world drops."
2471990489,3539357318,"Exotic engrams; extremely rare world drops."
2471990490,136355432,"Exotic engrams; extremely rare world drops."
2471990491,1160559849,"Exotic engrams; extremely rare world drops."
2471990493,2423243921,"Exotic engrams; extremely rare world drops."
2471995984,3611754012,"Complete strikes and earn rank-up packages from Commander Zavala."
2472967245,3862185275,"Complete Iron Banner matches and earn rank-up packages from Lord Saladin."
2473015839,2325223873,"Season of Plunder"
2473051971,370667049,"Complete activities and earn rank-up packages on Nessus."
2475467037,2450046452,"Xûr"
2477536482,2451830981,"Solstice"
2477594294,2305801487,"Leviathan, Spire of Stars raid lair."
2480200386,2471829328,"Season of the Seraph"
2480786915,2657028416,"Xûr"
2485720530,3015085684,"""Deep Stone Crypt"" Raid"
2486524256,2114894938,"Xûr"
2487531934,587762963,"""Ghosts of the Deep"" Dungeon"
2489014774,3591512190,"Complete Iron Banner matches and earn rank-up packages from Lord Saladin."
