"id","name","rarity_id","type_id","icon","class_id"
2147583688,"Spacewalk Cloak",5,30,"a6247ff6c411583eaa4b0e9b93317aea",1
2148295091,"Tangled Web Helm",5,26,"712b40a5a52a4cd8db7501dfaa4f35f6",0
2148305277,"Raven Shard",3,26,"efcec5035933fa8afe8c3533e401733a",2
2149271612,"Penumbral Cloak",5,30,"b773d7a27b6e3312764ed45c1bc249db",1
2150515362,"Resonant Fury Gauntlets",5,27,"4f221010196c2d8ec78f3f573d8823ff",0
2150778206,"Solstice Gloves (Scorched)",3,27,"f920ec6e985eedce066fe72bd853ea06",2
2151378428,"Tangled Web Greaves",5,29,"51d43f6619c49d2fdcdf37496b361b0e",0
2151724216,"Prophet Snow",4,26,"dfd91f68e1054649b4ff59fe51c10d07",2
2151744259,"Illicit Sentry Greaves",5,29,"e7fd2c06dd278ef04e9a1376917c52be",0
2153222031,"Shadow's Gloves",5,27,"3e77fad56b9c109e942658ea16cb8911",2
2153602188,"Annealed Shaper Robes",5,28,"8a56df45b2f7a5b60d5679748fdf3378",2
2154427219,"Sovereign Plate",5,28,"43c22b974daeecddddd10a50306a887a",0
2155757770,"Spacewalk Mark",5,30,"497333077960142d80ade161dfc59a74",0
2155928170,"Solstice Mark (Rekindled)",4,30,"ab59461bd435a092f3266bbdf6db0998",0
2156817213,"Solstice Cloak (Majestic)",5,30,"dbc98d027adb75631be200930805a183",1
2158289680,"Flowing Boots",5,29,"ccdbf7e132a6fad6f62fcaa10f075228",1
2158289681,"Floating Boots",5,29,"1e1deea49bc56e8ac0ec34655d7cc596",1
2158603584,"Gauntlets of Rull",5,27,"5e95ea54dcc48963281b9be1c36dbce6",0
2158603585,"Gauntlets of the Emperor's Champion",5,27,"223e4b25b16899dd89e4b8962f3f6a4c",0
2158678429,"Solstice Robes (Resplendent)",5,28,"d2f7e4ae0bedb3e338d27350e7a8c0e0",2
2158868172,"Noble Constant Mark",5,30,"d475a743d8536342f22b22baa08329a1",0
2159062493,"Mythos Hack 4.1",4,26,"2efec8dda271bdee5be239524ccac10f",1
2159363321,"Be Thy Guide",5,30,"6d86137a1ce88c5875cefeb30fbece83",1
2160569198,"Gensym Knight Boots",5,29,"5e31db7ce4a3935b31ea5e4ab3814c80",2
2160858284,"Candescent Strides (Unkindled)",5,30,"20a25611ab58b72a63a3e45361a46577",1
2162276668,"Cry Defiance",3,29,"a72d7ec1f205765fa3503aba9e28e35f",2
2163610255,"Solstice Gloves (Majestic)",5,27,"6798df3c5f529eb32defd5bd2b6b3265",2
2164070257,"Mindbreaker Boots",4,29,"6f8427ec2d835f3cb9acad1c0827d51b",0
2165598463,"Coronation Bond",5,30,"cbb50c6fa46fa6c9cf4fd8ef1209ffbc",2
2165661157,"Baseline Mark",4,30,"e213a20f15151ff49dabcb584cb32c77",0
2166230715,"Sealed Ahamkara Grasps",6,27,"159870075afe5423cbf1d8d46e920ccc",1
2166685180,"Brave Titan Gauntlets",2,27,"f378e5316a99404cab087ecdce699758",0
2166974634,"Praefectus Robes",5,28,"a1219a65c21c5f5622f5338157c0e66a",2
2168550540,"Frostreach Boots",5,29,"46c39df69530b465f9346f694c376584",2
2169286143,"Refugee Helm",2,26,"cff61705c928ad2e5476868f1f8a1297",0
2169905051,"Renewal Grasps",6,27,"4943351eeea32eacd98c50e33c840416",1
2170939813,"Mihaylova's Triumph",5,26,"a4a5b44ba93a8707a7433fd7df8f4cd4",2
2171693954,"Lost Pacific Mask",5,26,"a1cb5709530c867fcfa65d9e7542761b",1
2172333833,"Exodus Down Mask",5,26,"6db47ec2b077fdd941d540846f918871",1
2173858802,"Prodigal Cloak",5,30,"566a537b1bbed586718e65a77e66ce47",1
2174117797,"Woven Firesmith Mask",5,26,"5d6240f1df6640418e8733735718ba17",1
2177524718,"The Stag",6,26,"0a1199008a6bf59ab699612b7035d79f",2
2180477077,"Vest of the Great Hunt",5,28,"937dfec4a744281d46946b0ccd58fb27",1
2181242591,"Cloak of Remembrance",5,30,"81d28a8332670f1cba24627cdcc86889",1
2183384906,"War Mantis",4,26,"c27873db965bc491eee5bebeee465e41",1
2183861870,"Gauntlets of the Emperor's Champion",5,27,"223e4b25b16899dd89e4b8962f3f6a4c",0
2183861871,"Gauntlets of Rull",5,27,"5e95ea54dcc48963281b9be1c36dbce6",0
2183976852,"Veteran Legend Plate",5,28,"39522d33045de6c0dfdf9641e609c681",0
2184423372,"Sublime Gauntlets",5,27,"f2853775fe9e7a1f1c71b21f136622ea",0
2185244404,"Tangled Web Plate",5,28,"67a837f8bb45c08e74faba736c55ef81",0
2185500219,"Insight Unyielding Plate",5,28,"eb210c32ba3df7ebc475911ea806d568",0
2187982744,"Notorious Sentry Helm",5,26,"c45e25ad7ed1fd51d93d40363bfd2611",0
2187982746,"Illicit Sentry Helm",5,26,"7d60be621f83a7bce3834e8eb311fba6",0
2187982747,"Outlawed Sentry Helm",5,26,"5e307ef7b98cae0b94f72da1eed8f177",0
2188974669,"Clutch Extol Bond",5,30,"6272aef5c37314441e09573fcf84051b",2
2188986759,"Bond of Optimacy",5,30,"efb6478270aa4d40ea22d4ad7c5ce735",2
2189358721,"Sunlit Robes (Unkindled)",5,28,"b32e9d56c1e7f66d35f63f460c27baae",2
2190967049,"Prophet Snow",4,27,"fd7979910fdaf046c7039b280ed59d2e",2
2191401041,"Phoenix Strife Type 0",5,26,"7fff23743f98d2ac41a920ecc31407e4",0
2191437287,"Ankaa Seeker IV",5,27,"c48b0c5ca65ff882cb3e934b97bd9aa4",2
2193087628,"Midnight Exigent Helm",5,26,"621bc26d0c4f33856830bb79522c336c",0
2193432605,"Mimetic Savior Helm",5,26,"f4f8ee137f207b39bba61fadbb81753b",0
2193494688,"Boots of the Fulminator",5,29,"1fafa97729cf2f9240e21c0caa9f3dc8",2
2193494689,"Boots of the Emperor's Minister",5,29,"0633f1d0c9f72c7361c9678f542acca4",2
2194479195,"Penumbral Bond",5,30,"a011a4967fd4b4e5aa224cadd33583b6",2
2195467472,"Photonic Vest",5,28,"ecd0ef740652aaf8b239f94cf455f5af",1
2195587150,"Illicit Collector Robes",5,28,"0b2d82cef34256da52568b4df00c59bc",2
2196557755,"Opulent Stalker Strides",5,29,"7c4e02f03b0549bdbafe93369f4ec87c",1
2203146422,"Assassin's Cowl",6,26,"51cdf5976d29b61a6800ad5f4d8b10d8",1
2203751966,"Iron Truage Helm",5,26,"9e5743431083f420b353baeef8651aff",0
2203814271,"Solstice Gloves (Renewed)",4,27,"4847cd70c36b21dbb455df90dc6dfd02",2
2205315921,"Iron Will Hood",5,26,"c6859bcf5fe992757046c1bbf109290a",2
2205604183,"Dead End Cure 2.1",5,29,"400092a0e77d80aa5b0847f2c7914202",1
2206284939,"Tangled Web Strides",5,29,"dbcd523c933b581e3be21ecfdb4777fb",1
2206581692,"Phoenix Strife Type 0",5,29,"f84ea39f7fbc89da2dd47f0a41769fc4",0
2209865285,"Wise Warlock Robes",2,28,"9fc0d6f0828aea5abe2f13354c6e63b5",2
2210204488,"Exodus Down Robes",5,28,"41b79d0903a7f26b4dddc1411ef3b27d",2
2211544324,"The Outlander's Cloak",4,30,"9ab886d457b44de9a7c01244f0cbfe77",1
2213223388,"NPA ""Weir-Walker"" Jacket",5,28,"bc7de8ffb746f1bdabb26f246dcf6356",1
2214399070,"Wise Warlock Hood",2,26,"1cb2285f74ece98b03e170a3f8d9abdc",2
2214718277,"Midnight Oil Greaves",4,29,"8e54e5b1f0e6d118da699c943e5e974f",0
2217519207,"Iron Forerunner Hood",5,26,"cd7ec61f76fa75c17dd23bbfcd66001b",2
2217751623,"Sublime Robes",5,28,"97ad783dd80db50ab9897b7ec3b0155a",2
2218838661,"Exodus Down Robes",5,28,"41b79d0903a7f26b4dddc1411ef3b27d",2
2218948028,"Wolfswood Bond",5,30,"71374d41f372dbbd85a145aa73f10a6a",2
2221552043,"Hardy's Control",5,27,"45127d3340183c706f6b94ee55dfb7e4",0
2221612747,"Solstice Plate (Majestic)",5,28,"6389c051973a114a06236bf98282a573",0
2221648234,"Crushing Greaves",5,29,"cb268e78b8c86d35db0a98e0a5b1e434",0
2221648235,"Annihilating Greaves",5,29,"6a3cef659365d41bb8e99e8edc10fa1c",0
2224584236,"Eidolon Pursuant Cloak",5,30,"5ec9ecb6acc83606e462fbcb159c938f",1
2225903500,"Robes of Optimacy",5,28,"0b1aafb3bb17bfcf29d6cbb97778c97f",2
2226216068,"Chest Armor",2,28,"9fc0d6f0828aea5abe2f13354c6e63b5",2
2229560362,"Shieldbreaker Robes",4,28,"ad560ada06aabb6d4acf42187bddd15a",2
2229615005,"Midnight Oil Plate",4,28,"15a0e8a2d014c8049a80b090574a0a5d",0
2230522771,"War Mantis",4,27,"3136920e47e97a8f42af66766b8b811c",1
2231150714,"Corrupting Echo Boots",5,29,"55c010ec9ea72f2984234da863f7e415",2
2231762285,"Phoenix Strife Type 0",5,29,"e930cab9ab4d197eb2780a4e1f5723ac",0
2231988704,"Wastelander Mask",2,26,"f69f1e469b3968f3b463c538e4e32fbf",1
2232730708,"Vest of the Emperor's Agent",5,28,"6fb7a62d8e29f67be41348d7ce685b18",1
2232730709,"Vest of the Ace-Defiant",5,28,"1cb1ea87c4734d2c3a04c8fe4e9824ef",1
2234240008,"Moonfang-X7 Helm",5,26,"a76455a06596f165b50c03f26f106bb8",0
2234841490,"Seventh Seraph Cowl",5,26,"d620468ee50ca78200461d27e5776825",1
2234855160,"Iron Symmachy Cloak",5,30,"172ac1e8666df9451fb4c7024d57ee71",1
2237216282,"Iron Companion Greaves",5,29,"cac22cda4999e477a19fb1f78e42cd6f",0
2240152949,"Stronghold",6,27,"94ea4f627e75d7f1d71304057c569c4f",0
2240729575,"Tusked Allegiance Helmet",5,26,"23954718ed9aa6ba9492681459c14ee8",0
2241419267,"Timur's Iron Bond",5,30,"7ac00d7a53ada9ac2ed1bdc6710b19dc",2
2243444841,"Scatterhorn Greaves",5,29,"50c4b0cb18e8efde13e3ff7551481bee",0
2244013188,"Spacewalk Helm",5,26,"0052789b278ef66c46fd93fb665a2b17",0
2244604734,"Corrupting Echo Gloves",5,27,"43139ceb360f81cde34b0a3f0f8b4ba8",2
2245491369,"Opulent Scholar Hood",5,26,"a3b2fbc6933915736ed76f94b2d25482",2
2245996336,"Illuminus Grasps (Magnificent)",5,27,"e05f5b1bf4c0579551d76e815a73e53f",1
2245996337,"Illuminus Grasps (Majestic)",5,27,"e05f5b1bf4c0579551d76e815a73e53f",1
2247299560,"Iron Forerunner Boots",5,29,"6d029942ce8ea27a1eb0b93bb36c4a75",2
2247740696,"Swordflight 4.1",5,29,"e02cd2d6a60f04801aabf3260732ba84",1
2248987683,"Poison Promise Gloves",5,27,"6a3083346162249db0ee914a702c8d2c",2
2250032270,"Kairos Function Mark",5,30,"61f49429957966d96436615e0d1e9363",0
2251614491,"Iron Truage Boots",5,29,"c2b52d74b386532086edb70171539602",1
2252742528,"Hardcase Brawlers",4,27,"ab85bf9043558e2bff322c92807b8772",0
2252757719,"First Ascent Grips",5,27,"79077c4fd2522656b180761d6273bb93",1
2252973221,"Exodus Down Cloak",5,30,"11340a83dae4cb2daf0af60c68375665",1
2253044470,"Legion-Bane",4,27,"e3ff0235944a0262188ae40c9feb0c19",0
2253382795,"Fragment of the Prime",5,30,"3f3fc55df3c76693add0392a3412c0ff",2
2253976433,"Lustrous Chromite Helm",5,26,"97e4309e354a67fea4f6caf904aa8694",0
2255073244,"Iron Forerunner Mask",5,26,"e885943640e392c7b81cb60ca6046456",1
2255796155,"Peregrine Greaves",6,29,"49750e0306908fb302124ba9cab65606",0
2256359240,"Promised Reign Vest",5,28,"dabd995dce9fb6e90ad0f3382fd97500",1
2259629899,"Pathfinder's Robe",5,28,"8c41a1dea7fc0cad12c872c1bae820ef",2
2261200416,"Daring Hunter Vest",2,28,"9678d164d00ec54323071a825e319216",1
2263035824,"Outlawed Reaper Gauntlets",5,27,"ef27669236fd20bb39256fce1bfa2bea",0
2263035825,"Illicit Reaper Gauntlets",5,27,"56f2eda29d298d6790d09d0318a70ec9",0
2263035827,"Notorious Reaper Gauntlets",5,27,"cfbf7139746399172a63446dead436d3",0
2265859909,"Retro-Grade TG2",5,29,"970b9a96b06cba89ea07087a6e1237d5",0
2266122060,"Iron Truage Gauntlets",5,27,"4d243fbe76f9b85cc7f1c59fb7a82996",0
2267399501,"Scatterhorn Mark",5,30,"cfb01b823b4671c728bb781bfbfdb4ae",0
2268087176,"War Mantis",4,27,"a32cd587370c4a79750c1f6fed8273cf",1
2268523867,"Raiju's Harness",6,28,"fdc99d915e90a5992549ebe33c85d2c9",1
2270345041,"Gumshoe Gumption Strides",4,29,"a4434ca15f364b17a7e4c0e034febbec",1
2270509928,"Tusked Allegiance Greaves",5,29,"2c0d349554351d23362619553233063d",0
2273643087,"Solipsism",6,30,"7b57cd041db1987c3f566b96535daf9f",2
2274205961,"Iron Fellowship Plate",5,28,"dc2fe65176fd9253aad1cecfa22c36ab",0
2274277780,"Thunderhead Bond",5,30,"f5b50a43e7371f93cb40b2797be0f6e7",2
2274492816,"Solstice Hood (Rekindled)",4,26,"87d1dddd3d1f40e1474172c663c497b5",2
2274520361,"Helm of the Great Hunt",5,26,"f3cd900df3fdcf0eb24ec42a2f391c31",0
2275496908,"Opulent Stalker Cloak",5,30,"d49894a907102e485b6bdca528d02a0f",1
2276115770,"Scatterhorn Mask",5,26,"94c02e7f6689619399f38f758783ca98",1
2277119328,"Tangled Web Vest",5,28,"a8747cf646e6690bcb2d235c7bbfd705",1
2277597261,"Omega Mechanos Mask",5,26,"fd7f332c721f0dd286bcb072e4683f3b",1
2279193565,"Wild Hunt Mark",5,30,"147603cf04eef9f516fac4a2ed732de3",0
2280287728,"Bond of the Great Hunt",5,30,"42a98e2899a0de554316233b2547c15e",2
2282780740,"Gumshoe Gumption Cloak",4,30,"be5dff1e05c2d402f5c2d32eb0bde91e",1
