"id","name","description","icon"
2154191829,"Carbon Arrow Shaft","Light and stable shaft material. 
  •  Increases stability","d9e1105b539034b94a2f195245860893"
2167611941,"Reverberation","Final blows with this weapon increase the size of its detonations for an improved duration.","64edcfb23da95e960fef8fd749b993a1"
2171805903,"Perpetual Loophole","Deal additional melee damage while protected by an overshield. Defeating targets with melee final blows while the overshield is active will refresh it.","ad93d01f093c2ab16ee73e164432ae21"
2172504645,"Sleight of Hand","Final blows with weapons or abilities while this weapon is stowed increase its handling, stability, and reload speed for a short duration.","1834dab52e88116f0d0cd0eea54cc0ce"
2173046394,"Voltshot","Reloading this weapon after defeating a target overcharges this weapon for a short period of time, causing it to jolt on its next hit.","a71ffb1cb221ea64fa77ab473f8a3a61"
2179914730,"Banshee's Wail","[Block]  : Hold to rev the blade.
 • Increases damage and adds [Shield-Piercing] shield piercing to all attacks.
 • Gain stacks when dealing damage with revved attacks.
 • Additional stacks increase the damage and damage resistance of heavy attacks.","3a2fe8c1bd3fa1219922bf180b8e96e8"
2186532310,"Poison Arrows","Arrows fired quickly after a full draw become poison arrows. Precision hits with poison arrows stun the combatant and spread poison to nearby ones. Strong against [Disruption] Overload Champions.","d60d43b909df85aa3e938bc3a1ad1792"
2189829540,"Adaptive Frame","A well-rounded grip, reliable and sturdy.","967fb4abc6ab98f74639d6c08e5f56ee"
2193118393,"Longview SLR10","Balanced scope. Medium zoom. 
  •  Increases range
  •  Slightly increases handling speed","0f24c75b8394323828121555ea91fd7a"
2193118396,"Ambush SLH25","Agile, snappy scope. Short zoom.
  •  Increases handling speed
  •  Slightly increases range","0f24c75b8394323828121555ea91fd7a"
2193118397,"EagleEye SLR20","Powerful scope. Long zoom. 
  •  Greatly increases range
  •  Decreases handling speed","aecf48beb487fabd9031ec87443b3c25"
2193118398,"Shortgaze SLH10","Thin-lens scope. Short zoom. 
  •  Greatly increases handling speed","0f24c75b8394323828121555ea91fd7a"
2193118399,"Longview SLR20","Strong optics. Long zoom.
  •  Increases range","0f24c75b8394323828121555ea91fd7a"
