"id","perk_id"
2147541212,3708227201
2147541212,1546637391
2147541212,2244851822
2147541212,3913600130
2147541212,1685431615
2150087568,972757866
2150087568,3300816228
2150087568,3400784728
2150087568,1685378950
2150087568,3528046508
2150087568,573122728
2150087568,1583705720
2150087568,2450788523
2150087568,1428297954
2150087568,1409206216
2150087568,4207509907
2150087568,2014892510
2150087568,2503665585
2150490983,2779035018
2150490983,2621346526
2150490983,1570042021
2150490983,1645158859
2150490983,3436462433
2150490983,1556840489
2155717030,2010801679
2155717030,47981717
2155717030,588594999
2155717030,3425386926
2155717030,3038247973
2155717030,1866048759
2160967058,2779035018
2160967058,706527188
2160967058,588594999
2160967058,1645158859
2160967058,2039302152
2160967058,1820235745
2162389351,4267945040
2162389351,3436462433
2162389351,3161816588
2162389351,2450788523
2162389351,2946784966
2162389351,4071163871
2162994765,2213355989
2162994765,4104185692
2162994765,3108830275
2162994765,4082225868
2162994765,1774574192
2162994765,3523296417
2166253132,25606670
2166253132,1820235745
2166253132,3300816228
2166253132,3143051906
2166253132,4245865861
2166253132,3528046508
2166253132,2621346526
2166253132,1428297954
2166253132,509074078
2166253132,2495011826
2166253132,2014892510
2166253132,843318450
2166253132,2503665585
2171077051,3425386926
2171077051,1168162263
2171077051,957782887
2171077051,588594999
2171077051,3300816228
2175381135,3619207468
2175381135,3700496672
2175381135,2272927194
2175381135,2586829431
2175381135,1195158366
2175381135,1428297954
2178502761,3523296417
2178502761,2010801679
2178502761,2888557110
2178502761,706527188
2178502761,972757866
2184265400,2946784966
2184265400,3722653512
2184265400,2846385770
2184265400,1820235745
2184265400,1428297954
2184265400,509074078
2184265400,2450788523
2184265400,987673306
2184265400,2898218424
2184265400,509594246
2184265400,4245865861
2184265400,2014892510
2184265400,843318450
2184265400,4207509907
2196645782,201365942
2196645782,691659142
2196645782,47981717
2196645782,880644845
2196645782,951095735
2196645782,1866048759
2196645782,243981275
2196645782,3938834702
2196645782,2416023159
2196645782,3108830275
2196645782,1799762209
2196645782,3700496672
2196645782,3523746922
2196645782,536173722
2196645782,1370847713
2196645782,3120212825
2196645782,3878366039
2196645782,3118144663
2196645782,984655331
2196645782,3416609154
2196645782,3050799639
2196645782,855168139
2196645782,1008128453
2196645782,2840833776
2197486430,1774574192
2197486430,3350417888
2197486430,3425386926
2197486430,2458213969
2197486430,699525795
2197486430,11612903
2198653344,1890422124
2198653344,1771339417
2198653344,2896038713
2198653344,557221067
2198653344,4293542123
2198653344,1048183818
2198653344,3751912585
2206117022,2284787283
2206117022,3828510309
2206117022,951095735
2206117022,1421772400
2206117022,1821614984
2206117022,563069569
2206117022,1134488199
2206117022,3563868667
2206117022,1771736209
2206117022,3878366039
2206117022,3291427296
2206117022,1942880504
2206117022,2167611941
2206117022,2904194311
2213782412,588594999
2213782412,3425386926
2213782412,3108830275
2213782412,3511092054
2213782412,957782887
2213782412,2726471870
2213782412,3523296417
2213782412,2396489472
2213782412,706527188
2218407768,2557881346
2218407768,519046634
2218407768,289811733
2218407768,2753228730
2218407768,1726251414
2219285781,699525795
2219285781,3108830275
2219285781,776531651
2219285781,4049631843
2219285781,4104185692
2219285781,2896038713
2219285781,2848615171
2219285781,3719974635
2219285781,855168139
2219285781,2541826827
2219285781,859780267
2219285781,3007133316
2219285781,2402480669
2219285781,169755979
2219285781,2503665585
2224989427,957782887
2224989427,1546637391
2224989427,4293542123
2224989427,1194056669
2224989427,2551157718
2224989427,47981717
2224989427,555281244
2224989427,4116820839
2224989427,3418165135
2224989427,2675184851
2224989427,3955464425
2224989427,23371658
2224989427,1370847713
2224989427,2503665585
2226768966,3722653512
2226768966,2779035018
2226768966,1821614984
2226768966,3700496672
2226768966,1119449540
2226768966,243981275
2226768966,3017780555
2226768966,2898218424
2226768966,1171147302
2226768966,1942880504
2226768966,2840833776
2226768966,561986700
2226768966,984655331
2226768966,4223976499
2226768966,2503665585
2228304432,2030760728
2228304432,2590710093
2228304432,1749209109
2232495881,1870851715
2232495881,1866048759
2232495881,671806388
2232495881,2586829431
2232495881,2946784966
2232495881,2272927194
2232495881,3619207468
2232495881,183938251
2232495881,3118144663
2232495881,595108252
2232495881,2217963031
2232495881,987673306
2232495881,711628886
2232495881,3198323828
2232495881,2503665585
2233052799,4049631843
2233052799,2551157718
2233052799,3824105627
2233052799,555281244
2233052799,2109543898
2233052799,3038247973
2233052799,3751912585
