"id","name","rarity_id","type_id","archetype_id","element_id","icon","barrel_set_id","magazine_set_id","first_column_set_id","second_column_set_id"
2149166938,"Classical-42",5,10,1294026524,3,"23a703146f8dc74d7c464fe906ffd719",608,609,445,
2149166939,"Countess SA/2",5,10,1294026524,4,"8b2cee6cccb74dbcfcb8c68b63d23ac7",607,444,83,
2149683300,"IKELOS_SMG_v1.0.3",5,24,1525239159,2,"f12d04f740f02f82958233a55fa259f5",2044988252,3631426764,2707676952,3779757136
2152484073,"Warden's Law",5,9,3923638944,1,"5c23f0f9236403e328f28ba89715903b",2044988252,1942462581,3749493587,1599773845
2154059444,"The Long Goodbye",5,12,1294026524,2,"aad3dcc28bf0a6a6c5fd44b0df4981e4",2044988252,2135001,2045147984,1869465226
2164448701,"Apostate",5,12,878286503,2,"b3b3538f2445cb51b46b829595f5dcdb",2044988252,1088630078,1306932196,2826016044
2168486467,"Wicked Sister",5,23,1294026524,3,"8808a177da1c4822f259d53bbabdca44",438,439,94,
2171006181,"Service Revolver",5,9,1322370662,1,"7f7f1635c957e64b7409197ae7ca013f",481,730,70,
2171478765,"Fatebringer",5,9,1294026524,1,"7741689cbc1102aa9fc742b33a106f19",2044988252,1942462581,3524928470,1989831650
2179048386,"Forerunner",6,17,2984682260,1,"50d67833eda8bb60a81803de7d901457",346,464,1073,350
2185327324,"The Inquisitor",5,7,918679156,2,"a7eab3b149150a0398f070591eaec24d",2044988252,3906615109,2949746810,2751527558
2186258845,"Bellowing Giant",5,10,1294026524,4,"d93a12a1f2250f0869a4173c022bd46d",3511466866,3314592680,2605036073,1722393382
2187717691,"Circular Logic",5,8,1294026524,7,"ff0b4c92f672aac0ca1e8e2911080de2",2044988252,811071122,1828402432,2435766248
2188764214,"Dead Man's Tale",6,14,1319823571,1,"cfc2c246cfd404d749fffbfe3ae3dfec",513066031,2669820603,3376438417,2234985803
2189073092,"Lethal Abundance",5,6,1019291327,7,"7d1a259e4bba6673e160837784b91ad7",2044988252,811071122,489664220,1126995732
2194955522,"Fixed Odds",5,8,1019291327,3,"2f976faa5043ea86212e079c84ff6683",2044988252,1942462581,4227334000,1686775256
2198166292,"Aberrant Action",5,17,2928496916,3,"fd4ee0fc7c0c6249cb615aed85cd70e7",3511466866,1691965203,1298539495,2564725273
2199171672,"Lonesome",5,17,1636108362,1,"37a6e12e208b9560b2217dd694e8a323",2044988252,811071122,3612808001,167712635
2199554524,"Bygones",5,13,1294026524,1,"76f2275fd658bb22dc03eba01c11327a",2044988252,811071122,1005047587,2570387685
2208405142,"Telesto",6,11,1927916065,4,"44cffedea1b6bc9800da018f2bd431dd",616,631,632,
2209003210,"Zealot's Reward",5,11,878286503,4,"befe333b98c55b5c8dce6ba073ae1e92",2044988252,2515290978,2302298669,3383202947
2209451511,"Pariah",2,6,1636108362,1,"a292d51a38e05d202fb98d94fea94ce5",452,,,
2213848860,"Psi Termina II",3,13,1294026524,1,"40b9b76aab57ec7ac9f1c6baec62809a",487,312,,
2213848861,"Cadenza-11",3,13,1294026524,3,"9c3e5b0df501d35b2cc10eaad95ba25a",488,374,,
2213848862,"Standing Tall",3,13,1019291327,1,"65e581dad5700cd8e802a3aa747e93ae",484,485,,
2213848863,"Psi Ferox II",3,13,1458010786,1,"ec3e9597df493000b011f513baf57df2",486,29,,
2217366863,"Parcel of Stardust",5,7,1458010786,1,"58e8e56999a2c7f771dfcb12bc987351",1187995957,3906615109,2514419370,3424940310
2218569744,"Tarnished Mettle",5,14,1458010786,2,"f99ec44d9df503cc358acd45ea863d74",2044988252,1942462581,3852818067,3189303765
